"Ia","Ib","Ic","Ua","Ub","Uc"
"140.912","447.554","-586.532","-62719.59","173246.778","-110603.092"
"92.147","477.675","-569.308","-75379.732","174890.504","-99508.0"
"43.383","507.797","-552.084","-87519.594","175409.575","-87892.827"
"-0.504","529.312","-530.555","-99225.89","174890.504","-75757.571"
"-49.269","555.13","-504.719","-110238.479","173333.29","-63102.232"
"-98.033","572.343","-474.578","-120644.075","170651.421","-50013.492"
"-141.921","585.252","-444.436","-130269.251","166931.409","-36664.71"
"-190.686","598.161","-409.989","-139114.008","162173.255","-23142.568"
"-234.574","606.767","-371.235","-147004.918","156463.469","-9360.384"
"-278.462","611.07","-332.482","-154115.409","149715.541","4421.798"
"-317.474","611.07","-293.729","-160185.34","142102.494","18117.301"
"-356.485","606.767","-250.669","-165301.424","133537.816","31812.805"
"-395.497","602.464","-203.304","-169463.663","124194.531","45248.267"
"-429.632","589.555","-160.245","-172498.628","114159.15","58423.688"
"-463.767","576.646","-112.879","-174493.034","103345.163","71165.706"
"-493.026","559.433","-65.514","-175446.88","91839.08","83561.004"
"-517.408","537.918","-18.149","-175273.454","79813.926","95436.218"
"-541.79","512.1","29.215","-173972.754","67356.212","106704.67"
"-561.296","486.281","76.58","-171718.208","54465.939","117279.679"
"-575.925","456.16","123.946","-168336.39","41143.107","127161.245"
"-590.555","421.735","171.311","-163914.011","27647.25","136262.687"
"-600.308","383.008","214.37","-158451.074","13978.37","144497.325"
"-605.184","344.28","257.43","-152121.003","222.978","151865.159"
"-605.184","305.552","300.489","-144750.372","-13532.413","158279.508"
"-605.184","262.522","339.242","-136512.609","-27287.805","163740.374"
"-600.308","219.491","377.996","-127407.712","-40783.662","168247.754"
"-590.555","176.46","416.749","-117609.109","-54019.983","171628.29"
"-575.925","129.126","446.89","-107030.087","-66996.768","173968.661"
"-561.296","81.793","477.032","-95757.358","-79540.993","175268.867"
"-541.79","34.459","507.173","-83964.349","-91566.147","175442.228"
"-517.408","-12.874","528.703","-71564.347","-102985.718","174575.424"
"-488.149","-60.208","550.233","-58817.492","-113799.705","172581.774"
"-458.891","-107.541","567.456","-45637.07","-124008.11","169634.641"
"-429.632","-154.875","584.68","-32196.509","-133351.395","165560.662"
"-390.62","-202.209","593.292","-18582.521","-141916.073","160446.518"
"-356.485","-245.24","597.598","-4795.106","-149529.12","154378.89"
"-317.474","-288.27","601.904","8992.308","-156277.048","147357.778"
"-273.585","-326.998","601.904","22693.009","-162073.346","139383.181"
"-229.697","-365.726","597.598","36306.997","-166918.012","130541.78"
"-185.809","-404.453","588.986","49660.845","-170638.024","121006.936"
