"Ia","Ib","Ic","Ua","Ub","Uc"
"-365.672","-225.25","588.222","-10188.006","-145117.013","155365.276"
"-360.795","-233.859","592.529","-7498.443","-146674.227","154151.448"
"-351.041","-242.467","592.529","-4722.12","-148058.418","152850.918"
"-341.287","-251.076","592.529","-2032.557","-149529.12","151550.388"
"-336.41","-259.685","592.529","743.765","-150913.311","150163.156"
"-326.656","-268.293","592.529","3433.328","-152210.989","148775.924"
"-321.779","-272.597","592.529","6209.651","-153508.668","147301.99"
"-312.025","-281.206","596.836","8899.215","-154806.346","145914.758"
"-302.271","-289.815","596.836","11588.778","-156017.513","144354.122"
"-297.394","-298.423","596.836","14365.101","-157228.679","142880.188"
"-287.64","-307.032","596.836","17054.664","-158353.334","141232.85"
"-277.886","-315.64","592.529","19744.227","-159477.989","139672.214"
"-273.009","-324.249","592.529","22520.55","-160516.131","138024.876"
"-263.255","-332.858","592.529","25210.113","-161554.274","136377.538"
"-253.501","-337.162","592.529","27899.676","-162505.905","134643.498"
"-243.747","-345.771","592.529","30589.24","-163457.536","132909.458"
"-233.993","-354.379","592.529","33278.803","-164409.167","131088.716"
"-229.116","-362.988","588.222","35968.366","-165274.286","129354.676"
"-219.362","-371.596","588.222","38571.169","-166052.893","127447.231"
"-209.608","-375.901","588.222","41260.732","-166918.012","125626.489"
"-199.854","-384.509","583.915","43950.295","-167610.107","123719.045"
"-190.1","-393.118","583.915","46553.098","-168302.202","121811.602"
"-185.223","-397.422","579.608","49155.901","-168994.298","119817.456"
"-175.469","-406.031","579.608","51758.704","-169599.881","117823.309"
"-165.715","-410.335","575.301","54361.507","-170205.464","115829.163"
"-155.961","-418.944","575.301","56964.31","-170724.536","113748.315"
"-146.207","-427.552","570.994","59567.113","-171243.607","111667.467"
"-136.453","-431.857","570.994","62083.156","-171676.167","109586.62"
"-126.698","-440.465","566.687","64685.959","-172108.726","107419.07"
"-121.821","-444.769","562.38","67202.002","-172454.774","105251.52"
"-112.067","-449.074","562.38","69718.045","-172800.821","103083.97"
"-102.313","-457.682","558.073","72234.088","-173060.357","100916.42"
"-92.559","-461.987","553.766","74663.37","-173319.893","98662.168"
"-82.805","-470.595","549.459","77092.653","-173492.916","96407.916"
